Author,Repo Name,Description,Programming Language,Stars,Fork,Top Contributors,Stars Today
syl20bnr,spacemacs,"A community-driven Emacs distribution - The best editor is neither Emacs nor Vim, it's Emacs *and* Vim!",Emacs Lisp,23948,4895,"syl20bnr, TheBB, smile13241324, JAremko, duianto",7
emacs-mirror,emacs,Mirror of GNU Emacs,Emacs Lisp,4623,1311,"Eli-Zaretskii, rgmorris, monnier, eggert, larsmagne",3
Wilfred,helpful,A better Emacs *help* buffer,Emacs Lisp,1171,66,"Wilfred, nickdrozd, narendraj9, DamienCassou, kisaragi-hiu",1
copilot-emacs,copilot.el,An unofficial Copilot plugin for Emacs.,Emacs Lisp,2039,155,"zerolfx, bbatsov, github-actions, jcs090218, kiennq",1
qjcg,awesome-typst,Awesome Typst Links,Emacs Lisp,2671,131,"qjcg, RolfBremer, OrangeX4, astrale-sharp, johannes-wolf",3
joodland,bm,bm.el -- Visual Bookmarks for GNU Emacs,Emacs Lisp,275,31,"joodland, jixiuf, dsedivec, pataquets, sten0",0
manateelazycat,lsp-bridge,A blazingly fast LSP client for Emacs,Emacs Lisp,1576,217,"manateelazycat, werhner, kongds, zerolfx, mumu-lhl",1
emacs-lsp,lsp-mode,Emacs client/library for the Language Server Protocol,Emacs Lisp,4912,909,"yyoncho, vibhavp, ericdallo, traviscibot, jcs090218",0
radian-software,straight.el,"🍀 Next-generation, purely functional package manager for the Emacs hacker.",Emacs Lisp,2822,155,"raxod502, progfolio, xuchunyang, flatwhatson, aspiers",1
karthink,gptel,A simple LLM client for Emacs,Emacs Lisp,2355,228,"karthink, pabl0, psionic-k, benthamite, joaotavora",6
joaotavora,eglot,A client for Language Server Protocol servers,Emacs Lisp,2362,202,"joaotavora, skangas, mkcms, nemethf, leungbk",0
doomemacs,doomemacs,An Emacs framework for the stubborn martian hacker,Emacs Lisp,20280,3104,"hlissner, iyefrat, tecosaur, patrl, elken",2
haskell,haskell-mode,Emacs mode for Haskell,Emacs Lisp,1348,347,"gracjan, chrisdone, purcell, hvr, geraldus",1
ledger,ledger-mode,Emacs Lisp files for interacting with the C++Ledger accounting system,Emacs Lisp,411,76,"enderw88, purcell, thdox, jwiegley, bcc32",0
catkin,catkin_simple,"catkin, simpler",EmberScript,186,151,"wjwwood, dirk-thomas, furgalep, flaviofontana, uschwes",0
erlang,otp,Erlang/OTP,Erlang,11659,3001,"bjorng, garazdawi, bmk, IngelaAndin, sverker",5
erlang-lager,lager,A logging framework for Erlang/OTP,Erlang,1124,454,"Vagabond, macintux, lukebakken, borshop, paulo-ferraz-oliveira",0
emqx,emqx,"The most scalable open-source MQTT broker for IoT, IIoT, and connected vehicles",Erlang,14692,2294,"zmstone, thalesmg, HJianBo, zhongwencool, keynslug",4
ninenines,ranch,Socket acceptor pool for TCP protocols.,Erlang,1205,334,"essen, juhlig, Maria-12648430, fishcakez, keynslug",0
ninenines,cowlib,Support library for manipulating Web protocols.,Erlang,284,176,"essen, manifest, zuiderkwast, ppolv, tony612",0
ninenines,gun,"HTTP/1.1, HTTP/2, Websocket client (and more) for Erlang/OTP.",Erlang,911,233,"essen, zuiderkwast, unix1, manifest, bjosv",1
uwiger,gproc,Extended process registry for Erlang,Erlang,1077,234,"uwiger, norton, tolbrino, lemenkov, sg2342",0
proper-testing,proper,PropEr: a QuickCheck-inspired property-based testing tool for Erlang,Erlang,887,169,"kostis, manopapad, eiriniar, xspirus, TheGeorge",0
ferd,recon,Collection of functions and scripts to debug Erlang in production.,Erlang,1379,281,"ferd, bartekgorny, garazdawi, paulo-ferraz-oliveira, iilyak",0
erlang,rebar3,Erlang build tool that makes it easy to compile and test Erlang applications and releases.,Erlang,1724,521,"ferd, tsloughter, dizzyd, paulo-ferraz-oliveira, jaredmorrow",0
potatosalad,erlang-jose,JSON Object Signing and Encryption (JOSE) for Erlang and Elixir,Erlang,321,104,"potatosalad, ericmj, michaelklishin, maennchen, whatyouhide",0
dotnet,fsharp,"The F# compiler, F# core library, F# language service, and F# tooling integration for Visual Studio",F#,4026,813,"KevinRansom, dsyme, vzarytovskii, brettfo, dotnet-bot",1
Olical,conjure,"Interactive evaluation for Neovim (Clojure, Fennel, Janet, Racket, Hy, MIT Scheme, Guile, Python and more!)",Fennel,1908,118,"Olical, russtoku, glyh, taw10, TerseTears",0
ggandor,leap.nvim,Neovim's answer to the mouse 🦘,Fennel,4661,47,"ggandor, aaronlifton, kuntau, krmbzds, mivort",2
stephanrauh,ngx-extended-pdf-viewer,"A full-blown PDF viewer for Angular 16, 17, and beyond",Fluent,522,196,"stephanrauh, TheNordicOne, dependabot-preview, dependabot, stephanrauh0000",0
janeczku,calibre-web,"📚 Web app for browsing, reading and downloading eBooks stored in a Calibre database",Fluent,14415,1522,"OzzieIsaacs, cbartondock, cervinko, idalin, jkrehm",9
mozilla,blurts-server,Mozilla Monitor arms you with tools to keep your personal information safe. Find out what hackers already know about you and learn how to stay a step ahead of them.,Fluent,792,237,"flozia, mansaj, dependabot, groovecoder, lesleyjanenorton",2
zen-browser,l10n-packs,"💪 Localisation packs for @zen-browser so everyone can enjoy it, no matter where they are from!",Fluent,43,45,"mauro-balades, kristijanribaric, nocanoa, DavidSint, JosueGalRe",0
OpenFAST,openfast,Main repository for the NREL-supported OpenFAST whole-turbine and FAST.Farm wind farm simulation codes.,Fortran,758,475,"bjonkman, andrew-platt, rafmudaf, ebranlard, deslaughter",1
earth-system-radiation,rte-rrtmgp,RTE+RRTMGP is a set of codes for computing radiative fluxes in planetary atmospheres.,Fortran,79,72,"RobertPincus, brhillman, skosukhin, mrnorman, dependabot",0
firemodels,fds,Fire Dynamics Simulator,Fortran,725,643,"gforney, mcgratta, rmcdermo, drjfloyd, marcosvanella",1
E3SM-Project,E3SM,"Energy Exascale Earth System Model source code. NOTE: use ""maint"" branches for your work. Head of master is not validated.",Fortran,372,402,"jgfouca, singhbalwinder, bartgol, jonbob, xylar",0
NGEET,fates,repository for the Functionally Assembled Terrestrial Ecosystem Simulator (FATES),Fortran,110,94,"rgknox, glemieux, ckoven, rosiealice, xuchongang",0
MCSclimate,MCT,Model Coupling Tookit,Fortran,45,19,"rljacob, quantheory, jedwards4b, steder, Katetc",0
wrf-model,WRF,The official repository for the Weather Research and Forecasting (WRF) model,Fortran,1360,746,"davegill, weiwangncar, dudhia, mkavulich, jamiebresch",1
esmf-org,esmf,"The Earth System Modeling Framework (ESMF) is a suite of software tools for developing high-performance, multi-component Earth science modeling applications.",Fortran,181,81,"theurich, nancycollins, rokuingh, silveriovasquez10880, oehmke",0
CFMIP,COSPv2.0,COSP - The CFMIP (Cloud Feedbacks Model Intercomparison Project) Observation Simulator Package,Fortran,47,46,"alejandrobodas, dustinswales, RobertPincus, rodrigoguzman-lmd, dependabot",0
GEOS-ESM,MAPL,"MAPL is a foundation layer of the GEOS architecture, whose original purpose is to supplement the Earth System Modeling Framework (ESMF)",Fortran,28,19,"mathomp4, bena-nasa, tclune, weiyuan-jiang, darianboggs",0
NOAA-GFDL,FMS,GFDL's Flexible Modeling System,Fortran,107,143,"colingladueNOAA, underwoo, uramirez8707, rem1776, thomas-robinson",0
grimme-lab,xtb,Semiempirical Extended Tight-Binding Program Package,Fortran,646,159,"awvwgk, Albkat, foxtran, MtoLStoN, marcelmbn",0
cp2k,cp2k,Quantum chemistry and solid state physics software package,Fortran,930,409,"vondele, oschuett, tlaino, mkrack, juerghutter",1
NOAA-GFDL,GFDL_atmos_cubed_sphere,The GFDL atmos_cubed_sphere dynamical core code,Fortran,62,127,"bensonr, laurenchilutti, underwoo, lharris4, linjiongzhou",0
jyjblrd,Core-R-Theta-4-Axis-Printer,4 Axis 3D Printer,G-code,615,71,"jyjblrd, Blargedy",15
tanaes,whopping_Voron_mods,,G-code,636,107,"tanaes, garyd9, crashmaxx, clee, edddeduck",2
pablogila,TileMapDual,"An automatic, real-time dual-grid tileset system for Godot",GDScript,506,15,"raffimolero, pablogila, mikael-ros, jeffbdavenport, bendy1234",4
ramokz,phantom-camera,👻🎥 Control the movement and dynamically tween 2D & 3D cameras. Built for Godot 4. Inspired by Cinemachine.,GDScript,2573,96,"ramokz, ZenithStar, audeck, P5ina, GrogsyShovel",3
Phazorknight,Cogito,Immersive Sim Template Project for GODOT 4,GDScript,1269,134,"Phazorknight, niefia, ac-arcana, FailSpy, aronand",0
func-godot,func_godot_plugin,Quake .map support for Godot 4,GDScript,450,31,"RhapsodyInGeek, the-argus, sinewavey, Pesquisador-Stefano, greenfox1505",0
godotengine,godot-demo-projects,Demonstration and Template Projects,GDScript,6720,1795,"aaronfranke, Calinou, akien-mga, reduz, TwistedTwigleg",6
MewPurPur,GodSVG,"A vector graphics application for structured SVG editing, available on all major desktop platforms and on web. Currently in late alpha.",GDScript,1530,72,"MewPurPur, Kiisu-Master, Swarkin, Qainguin, syntaxerror247",3
mbrlabs,Lorien,"Infinite canvas drawing/whiteboarding app for Windows, Linux and macOS. Made with Godot.",GDScript,5860,260,"mbrlabs, MrApplejuice, Gurchain, albanobattistella, hansemro",2
dialogic-godot,dialogic,"💬 Create Dialogs, Visual Novels, RPGs, and manage Characters with Godot to create your Game!",GDScript,4442,263,"coppolaemilio, Jowan-Spooner, ii4y-studios, zaknafean, CakeVR",2
gdquest-demos,godot-shaders,"A large library of free and open-source shaders for the Godot game engine. Here, you'll get 2D and 3D shaders with playable demos.",GDScript,3426,205,"NathanLovato, Razoric480, QbieShay, tetrapod00, bramreth",1
gleam-wisp,wisp,🧚 A practical web framework for Gleam,Gleam,1077,48,"lpil, ross-byrne, renatillas, inoas, giacomocavalieri",0
SaschaWillems,Vulkan,C++ examples for the Vulkan graphics API,GLSL,10866,2086,"SaschaWillems, SRSaunders, Gadgeteering, ben-clayton, robotchaoX",4
KhronosGroup,SPIRV-Cross,SPIRV-Cross is a practical tool and library for performing reflection on SPIR-V and disassembling SPIR-V back to high level languages.,GLSL,2193,586,"HansKristian-Work, billhollings, cdavis5e, RobDangerous, rdb",0
cizia64,CrossMix-OS,Enhanced OS for the TrimUI Smart Pro,GLSL,645,60,"cizia64, cobaltgit, Nevrdid, welblade, tyusha0",1
pocketbase,pocketbase,Open Source realtime backend in 1 file,Go,45937,2257,"ganigeorgiev, ValleyZw, yuxiang-gao, ghostdevv, pnmcosta",92
go-task,task,A task runner / simpler Make alternative written in Go,Go,12616,671,"andreynering, pd93, task-bot, jaedle, dependabot",28
grpc,grpc-go,The Go language implementation of gRPC. HTTP/2 based RPC,Go,21765,4491,"iamqizhao, menghanl, dfawley, easwars, zasweq",7
cloudwego,eino,The ultimate LLM/AI application development framework in Golang.,Go,3193,226,"meguminnnnnnnnn, shentongmartin, hi-pender, luohq-bytedance, N3kox",87
NVIDIA,k8s-device-plugin,NVIDIA device plugin for Kubernetes,Go,3158,687,"elezar, klueska, ArangoGutierrez, dependabot, cdesiniotis",1
prometheus,prometheus,The Prometheus monitoring system and time series database.,Go,58258,9524,"fabxc, juliusv, beorn7, bboreham, dependabot",21
spegel-org,spegel,Stateless cluster local OCI registry mirror.,Go,2340,90,"phillebaba, dependabot, onedr0p, bittrance, noyoshi",125
spf13,cobra,A Commander for modern Go CLI interactions,Go,40202,2924,"eparis, n10v, spf13, umarcor, marckhouzam",14
projectdiscovery,katana,A next-generation crawling and spidering framework.,Go,13418,716,"dependabot, Mzack9999, ehsandeep, dogancanbakir, Ice3man543",13
open-telemetry,opentelemetry-collector,OpenTelemetry Collector,Go,5085,1600,"bogdandrutu, dmitryax, renovate, codeboten, mx-psi",9
zitadel,zitadel,"ZITADEL - Identity infrastructure, simplified for you.",Go,10450,692,"livio-a, peintnermax, hifabienne, adlerhurst, fforootd",69
stretchr,testify,A toolkit with common assertions and mocks that plays nicely with the standard library,Go,24462,1637,"ernesto-jimenez, brackendawson, dolmen, tylerstillwater, boyan-soubachov",8
gohugoio,hugo,The world’s fastest framework for building websites.,Go,79804,7757,"bep, spf13, dependabot, anthonyfok, jmooring",69
gruntwork-io,terragrunt,Terragrunt is a flexible orchestration tool that allows Infrastructure as Code written in OpenTofu/Terraform to scale.,Go,8585,1037,"brikis98, yorinasub17, denis256, yhakbar, levkohimins",7
open-policy-agent,opa,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",Go,10155,1402,"tsandall, srenatus, patrick-east, dependabot, anderseknert",3
rancher,rancher,Complete container management platform,Go,24071,3031,"ibuildthecloud, dramich, kinarashah, jakefhyde, rmweir",8
hashicorp,vault,"A tool for secrets management, encryption as a service, and privileged access management",Go,32266,4343,"jefferai, vishalnayak, armon, ncabatoff, mitchellh",12
nats-io,nats-server,"High-Performance server for NATS.io, the cloud and edge native messaging system.",Go,16917,1508,"derekcollison, kozlovic, neilalexander, matthiashanel, wallyqs",12
go-co-op,gocron,Easy and fluent Go cron scheduling. This is a fork from https://github.com/jasonlvhit/gocron,Go,6142,328,"JohnRoesler, dependabot, rbroggi, Higan, apocelipes",9
hashicorp,terraform,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",Go,45041,9820,"jbardin, mitchellh, apparentlymart, stack72, catsby",8
rakyll,hey,"HTTP load generator, ApacheBench (ab) replacement",Go,18779,1228,"rakyll, mdakin, jronak, pasc, keramidasceid",3
gradle,gradle,"Adaptable, fast automation for all",Groovy,17536,4906,"adammurdoch, eskatos, wolfs, bamboo, big-guy",7
nextflow-io,nextflow,A DSL for data-driven computational pipelines,Groovy,2910,680,"pditommaso, bentsherman, ewels, christopher-hakkaart, jorgeaguileraseqera",0
rundeck,rundeck,"Enable Self-Service Operations: Give specific users access to your existing tools, services, and scripts",Groovy,5754,938,"gschueler, ProTip, sjrd218, ltamaster, chrismcg14",1
AdobeDocs,experience-manager-65.en,This is the repository for Adobe Experience Manager 6.5 documentation. Your contributions to the documentation are welcome.,Groovy,76,116,"rickbrough, aheim0, anujkapo, singhkh, Ruchita454401",0
google,protobuf-gradle-plugin,Protobuf Plugin for Gradle,Groovy,1793,278,"zhangkun83, ejona86, aantono, zpencer, voidzcy",0
JetBrains,gradle-idea-ext-plugin,Plugin to store IJ settings in gradle script,Groovy,240,41,"nskvortsov, eskatos, breskeby, entrypointkr, wolfs",0
elastic,integrations,,Handlebars,274,451,"efd6, marc-gr, andrewkroh, kcreddy, dependabot",0
CrunchyData,postgres-operator-examples,"Examples for deploying applications with PGO, the Postgres Operator from Crunchy Data",Handlebars,202,5520,"jkatz, ValClarkson, benjaminjb, andrewlecuyer, jmckulk",1
ibeatai,beat-ai,"<Beat AI> 又名 <零生万物> , 是一本专属于软件开发工程师的 AI 入门圣经，手把手带你上手写 AI。从神经网络到大模型，从高层设计到微观原理，从工程实现到算法，学完后，你会发现 AI 也并不是想象中那么高不可攀、无法战胜，Just beat it !",Handlebars,3828,215,"sunface, mrxiaozhuox, sfilata, yansq, BobH-Official",2
rust-unofficial,patterns,"A catalogue of Rust design patterns, anti-patterns and idioms",Handlebars,8365,384,"simonsan, marcoieni, nrc, lambda-fairy, llogiq",0
koalaman,shellcheck,"ShellCheck, a static analysis tool for shell scripts",Haskell,37268,1809,"koalaman, josephcsible, ngzhian, contivero, jabberabbe",9
PostgREST,postgrest,REST API for any Postgres database,Haskell,25171,1080,"steve-chavez, begriffs, wolfgangwalther, laurenceisla, robx",7
kmonad,kmonad,An advanced keyboard manager,Haskell,4419,329,"david-janssen, slotThe, jokesper, thoelze1, lierdakil",4
NixOS,nixfmt,The official (but not yet stable) formatter for Nix code,Haskell,1106,49,"piegamesde, infinisil, Lucus16, yorickvP, kirelagin",2
IntersectMBO,cardano-ledger,The ledger implementation and specifications of the Cardano blockchain.,Haskell,268,157,"lehins, nc6, teodanciu, mgudemann, JaredCorduan",0
jgm,pandoc,Universal markup converter,Haskell,37009,3492,"jgm, tarleb, jkr, mpickering, mb21",14
hadolint,hadolint,"Dockerfile linter, validate inline bash, written in Haskell",Haskell,10867,442,"lorenzo, lukasmartinelli, m-ildefons, dependabot, zemanlx",1
IntersectMBO,cardano-node,The core component that is used to participate in a Cardano decentralised blockchain.,Haskell,3120,731,"iohk-bors, Jimbo4350, newhoggy, dcoutts, deepfire",0
fossas,fossa-cli,"Fast, portable and reliable dependency analysis for any codebase. Supports license & vulnerability scanning for large monoliths. Language-agnostic; integrates with 20+ build systems.",Haskell,1368,179,"cnr, xizhao, meghfossa, microsoftly, jssblck",0
haskell,haskell-language-server,Official haskell ide support via language server (LSP). Successor of ghcide & haskell-ide-engine.,Haskell,2791,389,"pepeiborra, jneira, mergify, michaelpj, wz1000",0
HaxeFoundation,haxe,Haxe - The Cross-Platform Toolkit,Haxe,6421,675,"Simn, ncannasse, nadako, RealyUniqueName, waneck",5
CodenameCrew,CodenameEngine,awesome fnf engine :D,Haxe,312,219,"YoshiCrafter29, lunarcleint, NeeEoo, NexIsDumb, Frakits",2
FunkinCrew,Funkin,A rhythm game made with HaxeFlixel,Haxe,3111,2330,"ninjamuffin99, EliteMasterEric, PrincessMtH, Hundrec, FabsTheFabs",1
terraform-aws-modules,terraform-aws-vpc,Terraform module to create AWS VPC resources 🇺🇦,HCL,3081,4527,"antonbabenko, semantic-release-bot, bryantbiggs, DrFaust92, betajobot",1
aws-ia,terraform-aws-control_tower_account_factory,AWS Control Tower Account Factory,HCL,692,496,"troy-ameigh, tonynv, andrew-glenn, hanafya",1
GoogleCloudPlatform,cloud-foundation-fabric,End-to-end modular samples and landing zones toolkit for Terraform on GCP.,HCL,1662,983,"ludoo, juliocc, lcaggio, wiktorn, juliodiez",1
terraform-aws-modules,terraform-aws-eks,Terraform module to create Amazon Elastic Kubernetes (EKS) resources 🇺🇦,HCL,4640,4184,"semantic-release-bot, bryantbiggs, barryib, brandonjbjelland, max-rocket-internet",3
terraform-aws-modules,terraform-aws-lambda,"Terraform module, which takes care of a lot of AWS Lambda/serverless tasks (build dependencies, packages, updates, deployments) in countless combinations 🇺🇦",HCL,968,708,"antonbabenko, semantic-release-bot, ahlinc, bryantbiggs, pdecat",1
terraform-google-modules,terraform-google-kubernetes-engine,Configures opinionated GKE clusters,HCL,1193,1214,"morgante, bharathkkb, aaron-lane, apeabody, Jberlinsky",0
terraform-aws-modules,terraform-aws-ecs,Terraform module to create AWS ECS resources 🇺🇦,HCL,605,582,"antonbabenko, semantic-release-bot, bryantbiggs, arminc, betajobot",0
GoogleCloudPlatform,cluster-toolkit,Cluster Toolkit is an open-source software offered by Google Cloud which makes it easy for customers to deploy AI/ML and HPC environments on Google Cloud.,HCL,245,181,"tpdownes, nick-stroud, mr0re1, heyealex, cboneti",1
antonputra,tutorials,DevOps Tutorials,HCL,3902,2698,"antonputra, melroy89, cookieo9, SvetlinZarev, techUdayMungalpara",2
cloudposse,terraform-aws-ecs-container-definition,Terraform module to generate well-formed JSON documents (container definitions) that are passed to the aws_ecs_task_definition Terraform resource,HCL,345,243,"nitrocode, actions-bot, cloudpossebot, osterman, actions-user",0
terraform-google-modules,terraform-google-iam,Manages multiple IAM roles for resources on Google Cloud,HCL,205,177,"cloud-foundation-bot, cray0000, aaron-lane, morgante, release-please",0
terraform-google-modules,terraform-google-lb-http,Creates a global HTTP load balancer for Compute Engine by using forwarding rules,HCL,330,379,"cloud-foundation-bot, danisla, Dev25, release-please, renovate",0
Blinue,Magpie,An all-purpose window upscaler for Windows 10/11.,HLSL,11190,525,"Blinue, weblate, allcontributors, animeojisan, SerdarSaglam",15
JamesCJ60,Universal-x86-Tuning-Utility,Unlock the full potential of your Intel/AMD based device.,HLSL,1949,51,"JamesCJ60, 1MrEnot, DuCun, loyvsc, eltociear",2
PKUFlyingPig,cs-self-learning,计算机自学指南,HTML,62593,7274,"PKUFlyingPig, smxm, BarbarossaWang, liudeyuan2021, taylover2016",182
boostorg,boost,Super-project for modularized Boost,HTML,7582,1817,"boost-commitbot, vprus, dabrahams, jzmaddock, hkaiser",1
ossu,computer-science,🎓 Path to a free self-taught education in Computer Science!,HTML,178456,22606,"ericdouglas, waciumawanjohi, joshmhanson, mkghosh, spamegg1",162
microsoft,Security-101,"8 Lessons, Kick-start Your Cybersecurity Learning.",HTML,5063,639,"banreyms, AnthonyByansi, sarah-yo, microsoftopensource, fschuermeyer",10
Xilinx,embeddedsw,Xilinx Embedded Software (embeddedsw) Development,HTML,1020,1092,"mirelas, mubinsyed, rajanv-xilinx, tejus26, andrei-simion",0
deanmalmgren,textract,extract text from any document. no muss. no fuss.,HTML,4092,624,"achembarpu, jpweytjens, ShawnMilo, christomitov, levivm",10
OWASP,ASVS,Application Security Verification Standard,HTML,2970,709,"tghosth, jmanico, vanderaj, elarlang, danielcuthbert",2
wesbos,JavaScript30,30 Day Vanilla JS Challenge,HTML,28329,39168,"wesbos, palashmon, ElaMoscicka, apopitich, akashrajum7",9
web-platform-tests,wpt,"Test suites for Web platform specs — including WHATWG, W3C, and others",HTML,5313,3265,"jgraham, Ms2ger, wpt-pr-bot, foolip, zcorpan",3
gustavoguanabara,html-css,Curso de HTML5 e CSS3,HTML,14772,3578,"gustavoguanabara, eteot, guanabara-eteot, gafanhotos",7
jwasham,computer-science-flash-cards,Mini website for testing both general CS knowledge and enforce coding practice and common algorithm/data structure memorization.,HTML,8639,2059,"jwasham, duongban, dependabot, linbingqiang, shivansh",3
SuperSimpleDev,html-css-course,Watch the course: https://youtu.be/G3e-cpL7ofc,HTML,1632,1186,"SuperSimpleDev, spencer-lochne",0
Unstructured-IO,unstructured,"Open source libraries and APIs to build custom preprocessing pipelines for labeling, training, or production machine learning pipelines.",HTML,10946,909,"MthwRobinson, cragwolfe, ryannikolaidis, scanny, christinestraub",8
themesberg,flowbite,Open-source UI component library and front-end development framework based on Tailwind CSS,HTML,8475,786,"zoltanszogyenyi, robert1508, Manal-el, CorwinDev, jmnda-dev",6
tc39,proposal-pipeline-operator,A proposal for adding a useful pipe operator to JavaScript.,HTML,7709,110,"js-choi, gilbert, littledan, tabatkins, TheNavigateur",3
DataDog,system-tests,Test framework for libraries and agents.,HTML,29,13,"cbeauchesne, robertomonteromiguel, wconti27, Kyle-Verhoog, christophe-papazian",0
brave,brave-core,Core engine for the Brave browser for mobile and desktop. For issues https://github.com/brave/brave-browser/issues,HTML,2682,963,"mkarolin, brave-browser-releases, tmancey, simonhong, cdesouza-chromium",2
docker-archive,toolbox,The Docker Toolbox,Inno Setup,3227,1228,"jmorganca, nathanleclaire, mchiang0610, shin-, FrenchBen",0
ethereum,execution-apis,Collection of APIs provided by Ethereum execution layer clients,Io,1022,410,"lightclient, github-actions, mkalinin, djrtwo, fjl",1
SeleniumHQ,selenium,A browser automation framework and ecosystem.,Java,32155,8421,"shs96c, barancev, jimevans, diemol, titusfortner",24
OpenAPITools,openapi-generator,"OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec (v2, v3)",Java,23517,6889,"wing328, fehguy, xhh, jimschubert, jmini",13
jeecgboot,JeecgBoot,🔥一款基于AIGC和低代码引擎的AI低代码平台，旨在帮助企业快速实现低代码开发和构建、部署个性化的 AI 应用。 前后端分离 SpringBoot，SpringCloud，Ant Design&Vue3，Mybatis，Shiro！强大的代码生成器让前后端代码一键生成，无需写任何代码! 成套AI大模型功能: AI模型管理、AI应用、知识库、AI流程编排、AI对话助手等；,Java,42416,15281,"zhangdaiscott, EightMonth, wang1223440313, CowSmiles, Chenzhexian",37
alibaba,spring-ai-alibaba,Agentic AI Framework for Java Developers,Java,2446,466,"chickenlj, yuluo-yx, answeropensource, brianxiadong, PolarishT",26
openjdk,jdk,JDK main-line development https://openjdk.org/projects/jdk,Java,20872,5801,"jonathan-gibbons, shipilev, prrace, coleenp, jddarcy",9
xpipe-io,xpipe,Access your entire server infrastructure from your local desktop,Java,10732,396,"crschnick, tolgaulas, muescha, chenx-dust, eltociear",41
CodePhiliaX,Chat2DB,"🔥🔥🔥AI-driven database tool and SQL client, The hottest GUI client, supporting MySQL, Oracle, PostgreSQL, DB2, SQL Server, DB2, SQLite, H2, ClickHouse, and more.",Java,22559,2435,"shanhexi, Chat2DB-Pro, JerryFan626, chat2db-jerry, robinji0",32
netty,netty,Netty project - an event-driven asynchronous network application framework,Java,34057,16062,"trustin, normanmaurer, Scottmitch, netty-project-bot, chrisvest",16
OpenLineage,OpenLineage,An Open Standard for lineage metadata collection,Java,1913,334,"mobuchowski, dependabot, merobi-hub, pawel-big-lebowski, wslulciuc",1
AutoMQ,automq,AutoMQ is a stateless Kafka on S3. 10x Cost-Effective. No Cross-AZ Traffic Cost. Autoscale in seconds. Single-digit ms latency. Multi-AZ Availability.,Java,5610,380,"ijuma, mjsax, guozhangwang, superhx, SCNieh",42
strimzi,strimzi-kafka-operator,Apache Kafka® running on Kubernetes,Java,5200,1357,"scholzj, ppatierno, PaulRMellor, tombentley, Frawless",4
spring-projects,spring-boot,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",Java,76877,41110,"wilkinsona, snicoll, philwebb, mhalbritter, mbhave",17
halo-dev,halo,强大易用的开源建站工具。,Java,35299,9866,"ruibaby, JohnNiang, guqing, LIlGG, dependabot-preview",17
xuxueli,xxl-job,A distributed task scheduling framework.（分布式任务调度平台XXL-JOB）,Java,28643,11145,"xuxueli, thinkingfioa, 1423302537, WEIZIBIN, denghuafeng",12
Netflix,Hystrix,"Hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems, services and 3rd party libraries, stop cascading failure and enable resilience in complex distributed systems where failure is inevitable.",Java,24304,4732,"mattrjacobs, benjchristensen, dmgcodevil, quidryan, mebigfatguy",4
apache,hadoop,Apache Hadoop,Java,15055,9034,"github-actions, aajisaka, szetszwo, vinoduec, arp7",2
questdb,questdb,"QuestDB is a high performance, open-source, time-series database",Java,15087,1229,"bluestreak01, ideoma, puzpuzpuz, jerrinot, bziobrowski",5
alibaba,DataX,DataX是阿里云DataWorks数据集成的开源版本。,Java,16402,5521,"TrafalgarLuo, dingxiaobo, zyyang90, dingbo8128, FuYouJ",3
langchain4j,langchain4j,Java version of LangChain,Java,7182,1329,"dliubarskyi, jdubois, crutcher, renovate, Martin7-1",22
google,guava,Google core libraries for Java,Java,50691,10980,"cpovirk, copybara-service, cgdecker, kluever, lowasser",5
apache,shardingsphere,"Empowering Data Intelligence with Distributed SQL for Sharding, Scalability, and Security Across All Databases.",Java,20197,6801,"terrymanu, tristaZero, tuohai666, strongduanmu, cherrylzhao",3
bazelbuild,bazel,"a fast, scalable, multi-language and extensible build system",Java,23967,4196,"katre, lberki, janakdr, cushon",3
drawdb-io,drawdb,"Free, simple, and intuitive online database diagram editor and SQL generator.",JavaScript,27706,1953,"1ilit, dependabot, haecheonlee, FelixZY, picimako",256
Worklenz,worklenz,All in one project management tool for efficient teams,JavaScript,1506,119,"chamikaJ, gdevenyi, MalakaSandakal, TheZoker, Mrs-Feathers",154
typescript-cheatsheets,react,Cheatsheets for experienced React developers getting started with TypeScript,JavaScript,46182,4193,"swyxio, github-actions, eps1lon, filiptammergard, allcontributors",9
leaningtech,webvm,Virtual Machine for the Web,JavaScript,12720,2269,"alexp-sssup, carlopi, yuri91, AtibQur, sere",29
open-webui,open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",JavaScript,90923,11470,"tjbck, cheahjs, jannikstdl, michaelpoluektov, dependabot",197
appium,appium,"Cross-platform automation framework for all kinds of apps, built on top of the W3C WebDriver protocol",JavaScript,19703,6162,"jlipps, renovate, bootstraponline, imurchie, boneskull",12
abhiz123,todoist-mcp-server,MCP server for Todoist integration enabling natural language task management with Claude,JavaScript,161,28,"abhiz123, calclavia, silviusimeria, punkpeye",7
