Author,Repo Name,Description,Programming Language,Stars,Fork,Top Contributors,Stars Today
opensearch-project,helm-charts,☸️ A community repository for Helm Charts of OpenSearch Project.,Smarty,185,247,"peterzhuamazon, prudhvigodithi, TheAlgo, smlx, gaiksaya",0
cloudnative-pg,charts,CloudNativePG Helm Charts,Smarty,271,131,"itay-grudev, github-actions, renovate, phisco, dependabot",0
mongodb,helm-charts,,Smarty,108,93,"theburi, igor-karpukhin, rodrigovalin, josvazg, mircea-cosbuc",0
8gears,n8n-helm-chart,A Kubernetes Helm chart for n8n - a workflow automation tool. Easily automate tasks across different services on self hosted onKubernetes,Smarty,319,137,"Vad1mo, swarnat, dominykasn, Fank, MarkusKepert",1
open-webui,helm-charts,,Smarty,164,91,"0xThresh, jyje, tjbck, robrakaric, bergutman",0
nextcloud,helm,A community maintained helm chart for deploying Nextcloud on Kubernetes.,Smarty,391,278,"tvories, provokateurin, jessebot, menardorama, wrenix",0
cvc5,cvc5,cvc5 is an open-source automatic theorem prover for Satisfiability Modulo Theories (SMT) problems.,SMT,1105,249,"ajreynol, mdeters, aniemetz, 4tXJ7f, timothy-king",1
adafruit,Adafruit_CAD_Parts,"CAD files for various boards, components and parts",SMT,1137,212,"djecken, DJDevon3, dandelany, ariherzig, fivesixzero",2
matter-labs,era-contracts,Smart Contract Submodule For zkSync Era,Solidity,506,375,"StanislavBreadless, kelemeno, Raid5594, koloz193, vladbochok",0
OpenZeppelin,openzeppelin-contracts,OpenZeppelin Contracts is a library for secure smart contract development.,Solidity,25687,12019,"frangio, Amxx, nventuro, ernestognw, maraoz",3
ethereum,ERCs,The Ethereum Request for Comment repository,Solidity,473,623,"Pandapip1, SamWilsn, MicahZoltu, lightclient, eth-bot",1
Dapp-Learning-DAO,Dapp-Learning,Dapp learning project for developers at all stages. Becoming and cultivating sovereign individuals. Nonprofit organization.,Solidity,5465,1410,"liberhe, 0x-stan, yanyanho, yingjingyang, dependabot",7
matter-labs,v2-testnet-contracts,,Solidity,63,33,"vladbochok, StanislavBreadless, benceharomi, otani88, github-actions",0
circlefin,evm-cctp-contracts,Official repository for all EVM-compatible smart contracts used by the Cross-Chain Transfer Protocol,Solidity,141,77,"walkerq, ams9198, mdbere, grantmike, epoon-circle",0
Vectorized,solady,Optimized Solidity snippets.,Solidity,2843,390,"Vectorized, atarpara, z0r0z, kadenzipfel, RogerPodacter",3
transmissions11,solmate,"Modern, opinionated, and gas optimized building blocks for smart contract development.",Solidity,4071,683,"transmissions11, Joeysantoro, z0r0z, brockelmore, Vectorized",0
dapphub,ds-test,"Assertions, equality checks and other test helpers",Solidity,223,73,"rainbreak, d-xo, tommyrharper, dbrock, brockelmore",0
dmfxyz,murky,Merkle Proof Generator and Validator in Solidity,Solidity,449,49,"dmfxyz, kootsZhin, emo-eth",1
0xPolygon,fx-portal,FxPortal for Polygon (Previously Matic) chain. No mapping. Seamless.,Solidity,175,113,"DhairyaSethi, QEDK, jdkanani, reddyismav, Raneet10",1
wormhole-foundation,wormhole-solidity-sdk,,Solidity,21,25,"derpy-duck, JoeHowarth, nonergodic, AgusVelez5, scnale",0
Layr-Labs,eigenlayer-contracts,Contracts of EigenLayer,Solidity,673,413,"ChaoticWalrus, Sidu28, gpsanant, wadealexc, 8sunyuan",0
GoldenCheetah,GoldenCheetah,"Performance Software for Cyclists, Runners, Triathletes and Coaches",Standard ML,1911,454,"liversedge, amtriathlon, grauser, Joern-R, srhea",1
googleapis,googleapis,Public interface definitions of Google APIs.,Starlark,7853,2393,"googleapis-publisher, pongad, neozwu, michaelbausor",4
bazel-contrib,rules_python,Bazel Python Rules,Starlark,574,582,"rickeylev, aignas, dependabot, alexeagle, f0rmiga",1
GoogleContainerTools,distroless,"🥑 Language focused docker images, minus the operating system.",Starlark,20297,1249,"loosebazooka, omBratteng, chanseokoh, dependabot, mattmoor",3
bazelbuild,bazel-central-registry,The central registry of Bazel modules for the Bzlmod external dependency system.,Starlark,285,437,"publish-to-bcr-bot, alexeagle, meteorcloudy, fmeum, Vertexwahn",0
tilt-dev,tilt-extensions,Extensions for Tilt,Starlark,215,178,"nicks, milas, maiamcc, landism, bobjackman",0
google,cel-spec,Common Expression Language -- specification and binary representation,Starlark,3161,246,"JimLarson, TristonianJones, jcking, eobrain, l46kok",3
aspect-build,rules_lint,Run static analysis tools with Bazel,Starlark,104,62,"alexeagle, github-actions, gregmagolan, jsharpe, mrmeku",0
jvolkman,rules_pycross,Bazel + Python rules for cross-platform external dependencies,Starlark,71,30,"jvolkman, betaboon, ewianda, njlr, plobsing",0
cncf,xds,xDS API Working Group,Starlark,226,75,"sergiitk, mmorel-35, kyessenov, keith, markdroth",0
bazelbuild,rules_proto,Protocol buffer rules for Bazel,Starlark,173,70,"comius, Yannic, thesayyn, alexeagle",0
tidbyt,community,A publishing platform for apps developed by the Tidbyt community 🚀,Starlark,407,728,"betterengineering, M0ntyP, matslina, rjison, rohansingh",0
aspect-build,rules_js,High-performance Bazel rules for running Node.js tools and building JavaScript projects,Starlark,332,115,"gregmagolan, jbedard, alexeagle, renovate, kormide",2
openconfig,gnoi,gRPC Network Operations Interface (gNOI) defines a set of gRPC-based microservices for executing operational commands on network devices.,Starlark,171,74,"robshakir, Raj998, marcushines, samribeiro, ejbrever",0
googleapis,api-common-protos,A standard library for use in specifying protocol buffer APIs.,Starlark,260,64,"ethanbao, googleapis-publisher, lukesneeringer, software-dov",0
ethpandaops,ethereum-package,"A Kurtosis package that deploys a private, portable, and modular Ethereum devnet",Starlark,328,217,"h4ck3rk3y, barnabasbusa, pk910, parithosh, skylenet",0
grpc,grpc-proto,"gRPC-defined protobufs for peripheral services such as health checking, load balancing, etc.",Starlark,276,107,"zpencer, ejona86, carl-mastrangelo, markdroth, cdmetcalf",0
bazelbuild,examples,Examples for Bazel,Starlark,875,534,"renovate-bot, kchodorow, alexeagle, c-parsons, hanwen",0
theoremlp,rules_uv,Bazel rules for running uv,Starlark,58,23,"thm-automation, mark-thm, renovate-thm, alexeagle, hofbi",1
rcore-os,blog,rcore-os Developer Blog,Stylus,45,461,"ZhiyuanSue, wyfcyx, hky1999, limingth, shzhxh",0
theme-next,hexo-theme-next,Elegant and powerful theme for Hexo.,Stylus,8215,2046,"ivan-nginx, stevenjoezhang, 1v9, wafer-li, tsanie",1
anzhiyu-c,hexo-theme-anzhiyu,安知鱼主题，这是一个简洁美丽的hexo主题。,Stylus,1962,301,"anzhiyu-c, Joker2Yue, junpengzhou, nixgnauhcuy, CCKNBC",1
huntabyte,shadcn-svelte,"shadcn/ui, but for Svelte. ✨",Svelte,6461,391,"huntabyte, AdrianGonz97, github-actions, shyakadavis, HubbeDev",5
seanmorley15,AdventureLog,Self-hostable travel tracker and trip planner.,Svelte,1102,56,"seanmorley15, dymek37, dependabot, larsl-net, Thiesjoo",4
vkurko,calendar,Full-sized drag & drop JavaScript event calendar with resource & timeline views,Svelte,1662,145,"vkurko, mweimerskirch, jakeorr, mrvnklm, ademaro",3
